name,location,cuisines,estimated_cost_for_two,rating
Matteo Coffea,church street,cafe,600.0,4.3
Glen's Bakehouse,lavelle road,"bakery, cafe, desserts, italian",600.0,4.4
Cafe Mozaic - Taj MG Road Bengaluru,mg road,"cafe, continental, italian, north indian, salad, south indian",2500.0,4.1
Smally's Resto Cafe,church street,"american, burger, cafe, italian, steak",650.0,4.3
Bengaluru Baking Company - JW Marriott Bengaluru,lavelle road,"bakery, burger, cafe, italian, salad, sandwich",1400.0,4.3
Cafe Kaara,ulsoor,"cafe, desserts, pizza, salad",750.0,4.2
Japan Travel Cafe Azuki,residency road,"cafe, japanese",400.0,4.3
Little Green Cafe,church street,"beverages, cafe, continental, healthy food, italian, salad, sandwich",900.0,4.3
Fabcafe,mg road,"cafe, healthy food",800.0,4.1
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,richmond road,"bbq, burger, cafe, continental, pizza, wraps",700.0,4.1
Skoolroom,ulsoor,"beverages, burger, cafe, continental, italian",700.0,4.3
Lakeview Milkbar,mg road,"cafe, desserts, fast food",500.0,4.0
Wolf'ish,church street,"american, burger, cafe, italian, pizza",700.0,4.1
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,ulsoor,"american, cafe, continental, steak",800.0,3.9
Peppa Zzing,infantry road,"burger, cafe, fast food",800.0,4.3
The Courtyard,shanti nagar,"cafe, italian",750.0,3.9
Cafe Imroze,infantry road,"burger, cafe, fast food, italian",650.0,3.6
Starbucks,mg road,"cafe, desserts",700.0,3.8
KAARA BY THE LAKE,ulsoor,"cafe, coffee, italian",750.0,4.0
Happy Belly Bakes,mg road,"bakery, cafe",500.0,4.2
Cafe Cassia& Deli,ulsoor,"cafe, lebanese, mediterranean",1000.0,4.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,shivajinagar,cafe,300.0,3.4
The Blackboard Bakery,lavelle road,"bakery, cafe, continental",1000.0,3.7
The Chocolate Heaven,commercial street,"cafe, desserts",600.0,
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,residency road,"beverages, cafe, desserts, fast food",400.0,4.0
Fresh Pressery Cafe,lavelle road,"cafe, healthy food, italian",1200.0,4.1
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,richmond road,cafe,800.0,4.0
Tata Cha,church street,"cafe, north indian, tea",500.0,3.9
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,ulsoor,"burger, cafe, fast food, finger food, italian, pizza, sandwich",500.0,4.2
Haji Ali Juice Centre,mg road,"beverages, cafe, fast food, juices",350.0,3.8
Driven Cafe,residency road,"beverages, cafe, fast food",600.0,3.4
Soul Cafe,mg road,"cafe, continental, italian",800.0,3.9
Barista,shanti nagar,cafe,300.0,3.7
The Lobby Brew - Conrad Bengaluru,ulsoor,"cafe, fast food, north indian",2200.0,3.8
Cafe 22,church street,"cafe, fast food",700.0,3.0
Chai Ki Tapri,mg road,cafe,250.0,3.7
Cafe Aladdin,st. marks road,"cafe, chinese",500.0,3.9
Cafe Cerrise,ulsoor,"cafe, continental, salad",600.0,3.8
Rasta,church street,"cafe, continental",1000.0,
Savera Cafe,shivajinagar,cafe,50.0,3.7
Aubree,shivajinagar,"bakery, cafe",400.0,
Norsha Caffe,commercial street,cafe,400.0,3.3
Little Bites,mg road,"cafe, fast food",200.0,3.6
Dad's Coffee Club,residency road,"cafe, north indian, south american",200.0,
Dasaprakash Cafe,mg road,cafe,400.0,3.1
The Bao Belly,residency road,cafe,400.0,3.3
The Corner - Hyatt Centric MG Road,ulsoor,"cafe, desserts, fast food",1000.0,
Lazzet Lee,lavelle road,"cafe, mughlai",400.0,
X Cafe,shanti nagar,"american, cafe, chinese, desserts, italian",400.0,
The Coffee Bean & Tea Leaf,mg road,cafe,700.0,3.8
Berrylicious Cafe,mg road,"cafe, chinese, continental, desserts, ice cream, north indian, pizza",900.0,4.1
Third Wave Coffee Roasters @ The Bohemian House,richmond road,"cafe, continental, desserts",800.0,
Hammered,cunningham road,"cafe, continental, japanese, north indian, thai",1300.0,4.7
Dolci Desserts,cunningham road,"cafe, desserts",750.0,4.3
The Culinarium,vasanth nagar,"beverages, cafe, desserts",1100.0,3.7
Infinitea Tea Room & Tea Store,cunningham road,"cafe, continental, desserts, momos, salad",1000.0,4.3
Mudpipe Cafe,cunningham road,"burger, cafe, continental, italian",750.0,4.2
Chels Cafe,cunningham road,"burger, cafe",500.0,3.5
Irene's Cafe & Deli - Citrus Hotels,cunningham road,cafe,1000.0,
Smoothies Cafe,hbr layout,"cafe, fast food, juices",200.0,
Talk Ease,city market,cafe,200.0,3.1
Tea and Wine Lounge,race course road,"cafe, desserts, tea",800.0,3.5
eat.fit,church street,"biryani, healthy food, north indian",300.0,4.1
Kabab Souq,richmond road,"arabian, chinese, kebab, north indian",500.0,3.6
Kerala Pavilion,domlur,"biryani, kerala, seafood, south indian",300.0,3.9
Donne Biriyani House,indiranagar,biryani,300.0,4.0
Leon Grill,st. marks road,"arabian, burger, desserts, fast food, healthy food, salad, turkish",500.0,4.3
FreshMenu,richmond road,"american, biryani, burger, chinese, continental, healthy food, north indian, salad",450.0,3.8
Sri Ganesh Juice Junction,koramangala 8th block,"beverages, fast food, juices",150.0,4.1
Burger King,indiranagar,"beverages, burger, fast food",600.0,4.0
Shanmukha,old airport road,"andhra, biryani, chinese, north indian",800.0,3.9
New Taj,ulsoor,"chinese, north indian",300.0,3.3
Sandhya Veg,brigade road,"chinese, south indian",150.0,3.5
Dunkin' Donuts,brigade road,"burger, desserts, fast food",550.0,4.1
Khan Saheb Grills and Rolls,indiranagar,"fast food, rolls",350.0,4.0
Shahi Family Restaurant,ulsoor,"chinese, north indian, south indian",350.0,3.4
Pathaan Sir,frazer town,"fast food, momos, rolls",250.0,3.8
BOX8- Desi Meals,residency road,"fast food, mughlai, north indian",500.0,4.3
Punjabi Dhaba,ejipura,"chinese, north indian",350.0,3.5
Warm Oven,domlur,"bakery, desserts",500.0,4.3
Donne Biryani House,residency road,biryani,400.0,3.3
Firangi Bake,indiranagar,"italian, mexican",600.0,3.9
Behrouz Biryani,vasanth nagar,biryani,650.0,4.2
Corner House Ice Cream,residency road,"desserts, ice cream",400.0,4.4
Chai Point,indiranagar,"beverages, fast food, tea",250.0,4.2
Empire Restaurant,frazer town,"chinese, mughlai, north indian, south indian",750.0,4.0
Tadkawala,vasanth nagar,north indian,200.0,3.5
Shawarma Time,ulsoor,arabian,300.0,3.7
Bangalore Shadi Biriyani,vasanth nagar,"chinese, north indian",150.0,3.5
Pizza Hut,shanti nagar,"fast food, pizza",750.0,3.8
Roti Shotti,jeevan bhima nagar,north indian,400.0,3.8
Indian Chicken Biryani Point,richmond road,"biryani, south indian",300.0,3.3
Nando's,indiranagar,"african, portuguese",1200.0,4.3
KFC,cunningham road,"burger, fast food",400.0,3.6
Dakshin Restaurant,brigade road,"chinese, mangalorean, north indian, seafood",800.0,3.6
KC Das,mg road,"mithai, street food",200.0,3.9
Ovenstory Pizza,vasanth nagar,pizza,750.0,3.8
M.M.A Kababs Rolls & Biryani Center,old madras road,"arabian, chinese, fast food, kebab, mughlai",400.0,2.7
Richie Rich,race course road,"beverages, desserts, fast food, ice cream",450.0,4.0
Belgian Waffle Factory,brigade road,desserts,400.0,4.9
No 10 Fort Cochin,st. marks road,"biryani, kerala, seafood, south indian",800.0,3.8
Shanthi Sagar,ulsoor,"chinese, juices, north indian, south indian",250.0,4.1
Savoury Restaurant,frazer town,"arabian, beverages, chinese, north indian",800.0,4.1
Faasos,vasanth nagar,"biryani, fast food, north indian",500.0,3.8
Karama Restaurant,frazer town,"arabian, beverages, north indian",750.0,4.4
The Mughal's,frazer town,"chinese, mughlai, north indian",400.0,3.7
Potful,domlur,"biryani, kebab, mughlai, rolls",650.0,4.1
KKR FOODIES,st. marks road,"biryani, chinese, fast food, north indian",400.0,3.1
Hotel Dil Coorg,ulsoor,"north indian, south indian",300.0,3.6
Meghana Foods,indiranagar,"biryani, chinese, north indian, seafood",750.0,4.2
The Milkshake Theory,lavelle road,"beverages, fast food",400.0,3.2
Snack House,indiranagar,"fast food, momos",200.0,3.8
Indiana Burgers,domlur,burger,300.0,3.4
Xpress Biryani,ulsoor,"biryani, kebab, north indian",650.0,4.3
Cupcake Bliss,domlur,bakery,250.0,3.6
New Alameen Restaurant,ulsoor,"chinese, kerala, north indian",300.0,3.5
Soda Bottle Opener Wala,lavelle road,"north indian, parsi",1300.0,4.4
Smoke House Deli,lavelle road,"desserts, european, italian, juices, salad, steak",1600.0,4.6
Thai Chy,indiranagar,"asian, indonesian, thai",1200.0,4.3
Donne Biryani Hatti,vasanth nagar,biryani,300.0,3.6
Kabab Magic,richmond road,"fast food, kebab, north indian",500.0,3.9
The Good Bowl,vasanth nagar,"biryani, italian, north indian",500.0,3.6
Ishta Upahar,ulsoor,south indian,100.0,3.4
Krispy Kreme,richmond road,"beverages, desserts",300.0,4.0
Healthie,indiranagar,"beverages, healthy food",600.0,3.9
XO Belgian Waffle,brigade road,"beverages, desserts",450.0,4.4
Mani's Dum Biryani,ulsoor,"biryani, kebab",750.0,4.0
Biryani Trip,indiranagar,biryani,400.0,
Subway,lavelle road,"fast food, salad",600.0,3.9
Kaati Zone,church street,"biryani, fast food, rolls",350.0,3.1
Suryawanshi,indiranagar,"maharashtrian, seafood",700.0,4.2
Portland Steakhouse & Cafe,mg road,"american, bbq, burger, continental, italian, salad, steak",1500.0,4.3
WOW! Momo,brigade road,"chinese, momos",400.0,3.7
Thalis Of India,indiranagar,"beverages, north indian, south indian",500.0,3.4
Keventers,indiranagar,"beverages, desserts, ice cream",400.0,4.0
Utse Kitchen,commercial street,"momos, nepalese, tibetan",800.0,4.2
The London Shakes,church street,"beverages, burger, coffee, pizza",500.0,
Shawarma Inc,brigade road,"lebanese, rolls",250.0,3.1
Alampur Bar And Restaurant,race course road,"chinese, north indian, south indian",900.0,3.7
SGS Non Veg - Gundu Pulav,st. marks road,"biryani, fast food",400.0,3.9
Hotel Fanoos,richmond road,"arabian, biryani, kebab, rolls",400.0,4.0
Laughing Llama Gastropub,brigade road,"continental, finger food, pizza",1600.0,4.3
Imperial Restaurant,indiranagar,"biryani, chinese, juices, kebab, north indian",800.0,3.9
Oregano Pizzeria,frazer town,"italian, pizza",300.0,3.5
The Good Grain,residency road,"healthy food, north indian, south indian",400.0,4.1
Pasta Street,cunningham road,"italian, pizza, salad",1300.0,4.5
Chetty's Coffee,mg road,south indian,200.0,3.7
Cita Pani,indiranagar,"arabian, biryani, north indian",350.0,3.9
Crazy Pizza,brigade road,"beverages, pizza",400.0,
The Waffle Press,st. marks road,"desserts, ice cream",400.0,4.3
Delicacy,frazer town,"chinese, momos, thai",500.0,3.9
Kareem's,frazer town,"mughlai, north indian",700.0,3.6
Mamagoto,indiranagar,"asian, bbq, chinese, momos, thai",1600.0,4.4
Tayabbs,frazer town,"fast food, north indian, rolls",500.0,3.0
Atty's Bakery,frazer town,bakery,250.0,4.0
Vijayalakshmi Veg,frazer town,south indian,200.0,3.9
The Cake House,ulsoor,"bakery, desserts",300.0,3.7
Eden Park,cunningham road,"andhra, biryani, chinese, north indian, seafood, south indian",1100.0,4.1
YumYumDilli,indiranagar,north indian,500.0,3.6
Kanti Sweets,brigade road,"mithai, street food",400.0,3.9
Rahhams,frazer town,"chinese, mughlai, north indian",700.0,3.9
Popat Juice Junction,ulsoor,"beverages, juices",200.0,
Marzipan Cafe & Bakery,ulsoor,"bakery, beverages, cafe, greek, mediterranean",700.0,4.2
Bozo's Yum Yums,frazer town,"american, burger, fast food",650.0,4.0
Pind Balluchi,brigade road,"mughlai, north indian",700.0,4.0
Cream Chemistry,frazer town,"desserts, ice cream",500.0,3.9
The Brekkie Shop,mg road,"healthy food, sandwich",300.0,3.5
Maravanthe,brigade road,"mangalorean, seafood",650.0,3.5
House Of Candy,malleshwaram,desserts,200.0,
Haldiram's Express,brigade road,north indian,300.0,3.6
Hotel Ramprasad,brigade road,"chinese, south indian",300.0,4.2
The Chef's Cake & Bakes,richmond road,desserts,800.0,
Anna Kuteera,st. marks road,"chinese, north indian, south indian",400.0,3.8
Indian Spice Food,ulsoor,"chinese, north indian",300.0,3.6
Wangs Kitchen,ulsoor,chinese,1000.0,2.5
Lassi Shop,indiranagar,"beverages, ice cream, juices",100.0,3.8
Kitchen of Joy,indiranagar,"bengali, fast food, rolls",400.0,4.1
Haji Ali Juice Centre,commercial street,"beverages, fast food, juices, pizza, rolls",350.0,4.0
Domino's Pizza,mg road,"fast food, pizza",800.0,3.9
Mama Mia!,indiranagar,"cafe, desserts",400.0,4.3
Shaadi Ki Biryani,commercial street,biryani,600.0,2.8
Taste of Nepal,koramangala 8th block,"chinese, momos, nepalese",350.0,3.5
Shiro,lavelle road,"asian, japanese",3000.0,4.4
Five Star Chicken,wilson garden,"burger, fast food",200.0,3.5
Thai House,brigade road,thai,700.0,4.2
InnerChef,indiranagar,"continental, north indian",500.0,3.7
Roll Er Dokaan,brigade road,"rolls, street food",300.0,3.3
NH7 Refuel,ulsoor,"biryani, chinese, north indian",400.0,3.5
Royanna Military Canteen,brigade road,"biryani, south indian",200.0,
Church Street Social,church street,"american, chinese, finger food, momos, north indian",1500.0,4.3
Mad Over Donuts,brigade road,"bakery, beverages, desserts",450.0,3.9
Sheesh Kebab,frazer town,north indian,700.0,4.1
Just Shawarma,ulsoor,arabian,300.0,3.8
Bangaliana,indiranagar,bengali,500.0,3.7
The Belgian Waffle Co.,indiranagar,desserts,400.0,4.0
Slurpy Shakes,domlur,beverages,300.0,
Taco Bell,brigade road,"american, fast food, mexican",600.0,3.8
Bangalore Masala House,vasanth nagar,"cafe, continental, fast food",500.0,4.2
Classic Lassi Shop,ulsoor,"beverages, ice cream",150.0,3.5
Fruit Face,indiranagar,"beverages, fast food, street food",300.0,3.6
Sweet Truth,koramangala 8th block,"bakery, desserts",500.0,4.2
Srinidhi Sagar Food Line,indiranagar,"chinese, north indian, south indian",40.0,3.7
Jars,vasanth nagar,"beverages, healthy food",650.0,3.8
Pabrai's Fresh & Naturelle Icecreams,brigade road,"desserts, ice cream",180.0,4.2
Ibaco,indiranagar,desserts,300.0,4.0
Hungerbreak 24x7,koramangala 8th block,"maharashtrian, north indian, south indian",500.0,3.1
The Egg Factory,st. marks road,"american, continental",750.0,4.2
Firewood Biryani,residency road,"biryani, kebab, rolls",400.0,3.9
Sweet Chariot,cunningham road,"bakery, fast food",500.0,3.8
Venus Biryani,domlur,"biryani, chinese",200.0,3.0
Sangam Sweets,seshadripuram,"mithai, street food",200.0,3.1
Container Coffee,ulsoor,south indian,200.0,
Kartik's Mithai Shoppe,indiranagar,"mithai, street food",150.0,4.1
Desi Deck,brigade road,"desserts, mughlai, north indian",1300.0,3.9
UBCR,indiranagar,"american, arabian, cafe, chinese, italian, north indian",350.0,3.3
Hoppipola,church street,"continental, european, mediterranean",1300.0,4.3
Hatti Kaapi,ulsoor,"beverages, south indian",200.0,3.8
Mount View Fast Food,vasanth nagar,"fast food, street food",100.0,3.3
Chichaba's Taj,frazer town,"biryani, mughlai, north indian",600.0,3.9
99 Pancakes,church street,"desserts, ice cream",150.0,4.1
Beijing Bites,richmond road,"chinese, thai",850.0,3.8
Kabab Korner,st. marks road,"chinese, fast food, north indian",500.0,3.9
Oh My Chaat,frazer town,street food,300.0,3.1
YumYumSouth,indiranagar,south indian,600.0,3.5
Foodhall,mg road,"bakery, fast food, italian",1000.0,4.0
Ciclo Cafe,indiranagar,"american, cafe, italian",1000.0,4.3
Alibaba Cafe and Restaurant,frazer town,"arabian, middle eastern",700.0,3.9
Goli Vada Pav No. 1,ulsoor,street food,200.0,3.5
Ooty Chocolates,indiranagar,desserts,300.0,3.8
Arya Bhavan Sweets,vasanth nagar,"mithai, north indian, street food",300.0,3.2
Amande Patisserie,lavelle road,"bakery, desserts, french",300.0,4.2
Qissa Khawani,church street,"mughlai, north indian",800.0,4.4
Ayda Persian Kitchen,church street,"iranian, north indian",950.0,3.9
Sri Krishna Sweets,indiranagar,mithai,250.0,3.7
Tewari Bros Mithai Shoppie,commercial street,"fast food, mithai",300.0,3.8
Kolkatta Famous Chat,indiranagar,"north indian, street food",100.0,3.7
Cookie Man,brigade road,bakery,150.0,3.4
Kabab Mela,shivajinagar,"chinese, kebab, north indian",300.0,
Vinny's,brigade road,"continental, desserts, italian, pizza",800.0,3.9
Sagar Delicacy,ulsoor,"chinese, fast food, north indian, street food",500.0,3.9
Platter,residency road,"juices, street food",300.0,2.9
Savera Lassi Shop,shivajinagar,"beverages, juices",100.0,
The Adukkala Restaurant,brigade road,kerala,500.0,3.6
Carnival de Goa,ulsoor,"goan, mangalorean, pizza",1000.0,4.2
McDonald's,brigade road,"burger, fast food",500.0,3.7
Northern Route,st. marks road,"north indian, street food",300.0,4.1
INDULGE by InnerChef,indiranagar,"bakery, desserts",400.0,3.5
The Open Box,st. marks road,"asian, european, mediterranean, north indian, salad",1400.0,4.2
Double Decker,brigade road,"continental, north indian",1300.0,4.3
Chickpet Donne Biryani House,commercial street,biryani,250.0,3.7
Toscano,lavelle road,"italian, salad",1500.0,4.4
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,indiranagar,continental,500.0,3.1
Dakshin Biryani & Tiffin,indiranagar,"andhra, north indian, south indian",550.0,3.4
Pizza Stop,lavelle road,"italian, pizza",600.0,3.5
Baskin Robbins,frazer town,"desserts, ice cream",250.0,3.1
Robin Brown Ice Cream,frazer town,desserts,250.0,
Chocolate D'Luxe,lavelle road,desserts,550.0,4.1
Chilli Chicken,brigade road,fast food,500.0,3.1
NoLimmits Lounge and Club,brigade road,"burger, chinese, continental, north indian, pizza",2000.0,4.0
Delisias,brigade road,bakery,400.0,
Masale Daan,richmond road,north indian,350.0,3.2
Hotel Rangoon,ulsoor,burmese,300.0,3.7
Drunken Monkey,frazer town,"beverages, fast food",400.0,3.5
Mangalore pearl - Seafood Restaurant,ulsoor,"mangalorean, seafood",550.0,4.3
The Wok Shop,ulsoor,"asian, chinese, fast food, indonesian, korean, momos",500.0,3.4
Chaitanya Veg,shivajinagar,south indian,300.0,3.2
20 Feet High,church street,"american, continental, salad, steak",1000.0,4.0
World In A Bowl,indiranagar,"beverages, continental, desserts, north indian",600.0,2.8
Bean Flickers,indiranagar,"american, cafe, coffee, continental, fast food",700.0,4.3
7 Plates,frazer town,"fast food, mughlai, north indian, rolls",600.0,3.9
Munchies,brigade road,"bakery, fast food",250.0,3.9
Supreme Biryani,ulsoor,biryani,400.0,
Kenz Karam,frazer town,"beverages, desserts",300.0,3.5
Kobe Sizzlers,brigade road,"american, continental, fast food, steak",1500.0,4.1
Cafe Idly,frazer town,"fast food, south indian",200.0,3.7
Al Swaad Take Away,richmond road,"arabian, north indian, south indian",350.0,3.1
Niranthara,vasanth nagar,north indian,600.0,
Ambur Star Briyani,indiranagar,"biryani, chinese, north indian",500.0,3.7
Airlines Hotel,lavelle road,"north indian, south indian, street food",400.0,4.0
Just Bake,ulsoor,"bakery, desserts",400.0,3.4
Pai Vihar,vasanth nagar,"chinese, fast food, south indian, street food",400.0,2.8
Crunch Pizzas,domlur,"italian, pizza",600.0,2.9
Eat At Nite,frazer town,"chinese, north indian, rolls",400.0,3.2
Height's Cafe - Hotel Bangalore International,race course road,"continental, south indian",1000.0,3.2
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,mg road,desserts,600.0,3.9
Frozen Bottle,brigade road,"beverages, desserts, ice cream",400.0,4.0
Sri Udupi Park,residency road,"chinese, south indian",200.0,3.8
Ramji Chaiwale,ulsoor,"beverages, fast food",250.0,3.8
Gelato Italiano,kammanahalli,"bakery, desserts, ice cream",200.0,3.2
Chantilly,indiranagar,"bakery, cafe",450.0,4.1
Ghar Ka Bhojan,domlur,"healthy food, north indian",200.0,3.3
Kolkata Famous Kati Rolls,frazer town,"rolls, street food",200.0,
Cafe Terra,indiranagar,"cafe, continental, fast food",500.0,4.2
Charminar Kabab Paradise,frazer town,"chinese, kebab, mughlai, north indian",500.0,4.0
Cream Stone,frazer town,"beverages, desserts",500.0,4.0
EatWater,lavelle road,north eastern,1000.0,4.2
Sherlock's Cafe,frazer town,"cafe, fast food",350.0,3.7
Step Right Up,vasanth nagar,"cafe, italian",300.0,4.1
Zaks Mediterranean Cuisine,frazer town,"arabian, lebanese, mediterranean, rolls",700.0,3.9
Paratha Xpress,ulsoor,"chinese, north indian",200.0,3.5
The ThickShake Factory,cunningham road,"beverages, juices",350.0,2.8
The Chariot,brigade road,"chinese, north indian, south indian",350.0,2.9
The J,church street,"beverages, fast food",450.0,4.0
ZOROY Luxury Chocolate,church street,desserts,250.0,4.0
Kanteen 038,indiranagar,"beverages, fast food, tea",200.0,3.9
Donne Biriyani Mane,church street,"biryani, kebab",400.0,3.5
A2B - Adyar Ananda Bhavan,shanti nagar,"fast food, south indian, street food",400.0,3.9
Le Rock,brigade road,"chinese, continental",2000.0,4.0
Bangalore Bytes,brigade road,"biryani, fast food, south indian",300.0,3.5
Milk N Shakes,koramangala 8th block,beverages,300.0,3.7
Siridhanya Upahara Darshini,frazer town,south indian,400.0,3.4
Hotel Chandrika,cunningham road,"chinese, north indian, south indian, street food",400.0,3.8
Gowdru Hotel,indiranagar,"biryani, south indian",400.0,3.9
Cafe Braqa,indiranagar,"beverages, cafe, continental, italian",700.0,4.0
Sri Srinivas Park Hotel,btm,"north indian, south indian",250.0,
Naachiyar's,ulsoor,chettinad,600.0,3.9
Dindigul Thalappakatti,mg road,"biryani, chinese, north indian, south indian",800.0,
Cobaja,brigade road,"bar food, konkan, mangalorean, seafood, south indian",700.0,4.3
Brownie Heaven,cunningham road,"desserts, fast food",300.0,4.2
Kadamba Foodline,ulsoor,"chinese, north indian, south indian",400.0,3.7
The Bundle Co.,mg road,"beverages, burger, continental, italian",700.0,4.4
Tea Break Lounge,brigade road,"beverages, fast food",400.0,3.3
The Grill House,ulsoor,"american, italian, mexican, steak",1200.0,4.1
Mountain Spice,koramangala 8th block,"chinese, momos, nepalese, tibetan",400.0,3.9
Kabab Nation Corner,brigade road,"arabian, chinese, fast food",500.0,3.5
Petoo,commercial street,"fast food, north indian, street food",800.0,3.7
The Grand Taj,shivajinagar,"chinese, north indian",350.0,3.2
Kumbakonam Degree Coffee,indiranagar,"fast food, south indian",200.0,3.8
C Sharp Kitchen,church street,"chinese, european, north indian",600.0,3.4
Nossa Goa,richmond road,"desserts, goan, konkan, seafood",1000.0,4.1
Red Lantern,cunningham road,"chinese, thai",700.0,3.7
ROYCE' Chocolate,mg road,desserts,1000.0,3.5
Chung Wah Express,indiranagar,"chinese, momos, thai, vietnamese",600.0,2.8
Ujwal Restaurant,vasanth nagar,"chinese, north indian, seafood",550.0,3.9
GMT - Gelateria Montecatini Terme,lavelle road,"desserts, ice cream",300.0,4.4
Kettle & Kegs,cunningham road,"beverages, tea",200.0,
Gokul Kuteera,indiranagar,"chinese, north indian, south indian",650.0,3.9
The Souk,ulsoor,"cafe, continental, italian, mediterranean, pizza",800.0,3.7
Caffe Maven,residency road,"chinese, north indian",300.0,3.4
Desi Streat,brigade road,"south indian, street food",400.0,
Bubbles,frazer town,cafe,450.0,3.7
Popat,indiranagar,north indian,300.0,3.2
Tea Journey,indiranagar,cafe,500.0,3.8
Baba Da Dhaba,brigade road,north indian,650.0,4.1
Momo Time,ulsoor,"chinese, momos",300.0,
China South,brigade road,"chinese, tibetan",600.0,
Ging - Royal Orchid Central,mg road,asian,2000.0,4.3
Masala Central,frazer town,north indian,300.0,3.7
Daily Bite,richmond road,"desserts, fast food",250.0,3.5
Lime Twist,residency road,"beverages, fast food",150.0,
All Saints Bakery,brigade road,bakery,200.0,3.6
Ta'aam,cunningham road,"arabian, chinese, mughlai, north indian",750.0,4.1
Classic Shop,ulsoor,"beverages, juices",150.0,3.3
Coastal Delight,indiranagar,"chinese, mangalorean, north indian, seafood, south indian",650.0,4.1
Little White Kitchen,brigade road,"chinese, continental, italian, north indian",200.0,3.8
UBQ by Barbeque Nation,mg road,"bbq, biryani, kebab, north indian",450.0,3.2
Taipan,frazer town,"chinese, momos",700.0,3.5
Penta Cafe,frazer town,"beverages, fast food, juices",350.0,3.5
Ideal Kitchen,indiranagar,"chinese, north indian, seafood, south indian",250.0,3.5
Tibbs Frankie,brigade road,"rolls, street food",200.0,3.8
Chef Baker's,mg road,"bakery, desserts",600.0,
Ghar Ki Rasoi,indiranagar,"chinese, italian, north indian",500.0,3.1
Gelato Italiano,brigade road,"bakery, desserts, ice cream",200.0,3.0
OCEA HOTEL,brigade road,"chinese, north indian, seafood",800.0,3.7
Vietnamese Kitchen,indiranagar,"chinese, momos, thai, vietnamese",800.0,4.1
Shadow Kolkata Katti Rolls & Momos,brigade road,"chinese, rolls",250.0,
L'inoui,cunningham road,desserts,400.0,4.1
Troll,indiranagar,"desserts, ice cream",300.0,3.8
Bhavani Sri,indiranagar,"andhra, biryani, seafood",700.0,3.0
Meaza Ginger Multi Cuisine Restaurant,indiranagar,"chinese, kerala, north indian, south indian",550.0,3.6
Mamma Mexicana,mg road,mexican,1000.0,2.2
The Jungle Terrace,brigade road,"continental, lebanese, mexican",600.0,3.5
Roll Junction,cunningham road,"fast food, rolls",150.0,2.9
Chutney Chang,church street,"bbq, chinese, north indian",1500.0,4.2
Amritsari Kulcha Bite,ulsoor,north indian,150.0,3.9
Delices,ulsoor,"bakery, desserts",400.0,3.1
Meenu Oota Da Maane,brigade road,"chinese, mangalorean, seafood",700.0,3.2
Gobble Up Churros Cafe,ulsoor,"bakery, beverages, cafe, desserts, spanish",400.0,3.8
Tempura Restaurant,brigade road,"chinese, japanese, momos, tibetan",500.0,3.9
Choi Choi Momos,brigade road,"chinese, fast food, momos",300.0,3.8
Shalimar,indiranagar,"chinese, north indian, seafood",700.0,4.0
Deshi Fusion Pizza,old madras road,"chinese, pizza, rolls",750.0,3.3
Indira Darshini,frazer town,"chinese, south indian",200.0,3.6
Aagaman Veg,indiranagar,"chinese, north indian, south indian",900.0,4.0
Salt Mango Tree,indiranagar,kerala,800.0,4.1
MISU,st. marks road,"asian, indonesian, japanese, korean, malaysian, singaporean",1700.0,4.6
RockSalt,st. marks road,modern indian,1900.0,4.4
The Rice Bowl,lavelle road,"chinese, momos",1300.0,4.3
South Inn,frazer town,south indian,150.0,3.1
Pathy's Kitchen,indiranagar,andhra,500.0,3.5
Happy Fillings,ulsoor,chinese,300.0,3.4
Rotti Mane,domlur,south indian,200.0,3.4
Shezan,cunningham road,"chinese, continental, mughlai, north indian, steak",600.0,4.1
Omleterian,ulsoor,"american, continental",200.0,
Oye Amritsar,church street,north indian,1000.0,4.1
Kanchanjunga Kitchen - The Flavour of Hills,koramangala 8th block,"chinese, momos, nepalese, tibetan",300.0,
Croons,brigade road,desserts,350.0,3.8
MiniMelts,brigade road,"desserts, ice cream",200.0,3.9
Tandoor,mg road,north indian,2100.0,3.9
Rolls Corner,brigade road,"chinese, fast food",300.0,
Feast India Co.,cunningham road,"awadhi, bengali, north indian",1500.0,4.2
Hotel Green Tara,brigade road,"chinese, momos, tibetan",500.0,3.9
Oven Lovin',brigade road,"bakery, desserts",300.0,
The Biere Club,lavelle road,"bbq, continental, finger food",1700.0,4.3
Amber Rush Express,residency road,"chinese, continental, italian",600.0,
Bangalore Mandarin,indiranagar,"chinese, seafood",1100.0,4.2
Rolls On Wheels,brigade road,"fast food, momos, rolls",300.0,3.5
Mahesh Lunch Home,residency road,"chinese, mangalorean, north indian, seafood",1400.0,4.1
Bheema's,church street,andhra,650.0,4.0
